prolificId	participantIndex	sessionKey	sessionId	mode	startedAt	completedAt	terminatedReason	lastAutosaveAt	autosaveSeq	serverLastSavedAt	serverLastSaveOk	serverLastSaveError	flow_order	flow_source	flow_enable_math	instrument	score_type	name	value	detail
	2	8e8a8d6d-f224-2095-83d4-53412e0be0e6__trial	8e8a8d6d-f224-2095-83d4-53412e0be0e6	trial	2026-01-30T07:10:26.237Z			2026-02-04T04:48:37.932Z	3				mfq30,hexaco100,svo,ipip120,d70	default	true	hexaco100	facet_sum	Anxiety		{"factor":"Emotionality","nItems":4,"items":[{"num":11,"id":"hexaco_011","reverseKeyed":false,"rawValue":null,"scoredValue":null},{"num":35,"id":"hexaco_035","reverseKeyed":true,"rawValue":null,"scoredValue":null},{"num":59,"id":"hexaco_059","reverseKeyed":true,"rawValue":null,"scoredValue":null},{"num":83,"id":"hexaco_083","reverseKeyed":false,"rawValue":null,"scoredValue":null}]}
	2	8e8a8d6d-f224-2095-83d4-53412e0be0e6__trial	8e8a8d6d-f224-2095-83d4-53412e0be0e6	trial	2026-01-30T07:10:26.237Z			2026-02-04T04:48:37.932Z	3				mfq30,hexaco100,svo,ipip120,d70	default	true	hexaco100	facet_mean	Anxiety		{"factor":"Emotionality","sum":null,"nItems":4,"items":[{"num":11,"id":"hexaco_011","reverseKeyed":false,"rawValue":null,"scoredValue":null},{"num":35,"id":"hexaco_035","reverseKeyed":true,"rawValue":null,"scoredValue":null},{"num":59,"id":"hexaco_059","reverseKeyed":true,"rawValue":null,"scoredValue":null},{"num":83,"id":"hexaco_083","reverseKeyed":false,"rawValue":null,"scoredValue":null}]}
	2	8e8a8d6d-f224-2095-83d4-53412e0be0e6__trial	8e8a8d6d-f224-2095-83d4-53412e0be0e6	trial	2026-01-30T07:10:26.237Z			2026-02-04T04:48:37.932Z	3				mfq30,hexaco100,svo,ipip120,d70	default	true	hexaco100	facet_sum	Dependence		{"factor":"Emotionality","nItems":4,"items":[{"num":17,"id":"hexaco_017","reverseKeyed":false,"rawValue":null,"scoredValue":null},{"num":41,"id":"hexaco_041","reverseKeyed":true,"rawValue":null,"scoredValue":null},{"num":65,"id":"hexaco_065","reverseKeyed":false,"rawValue":null,"scoredValue":null},{"num":89,"id":"hexaco_089","reverseKeyed":true,"rawValue":null,"scoredValue":null}]}
	2	8e8a8d6d-f224-2095-83d4-53412e0be0e6__trial	8e8a8d6d-f224-2095-83d4-53412e0be0e6	trial	2026-01-30T07:10:26.237Z			2026-02-04T04:48:37.932Z	3				mfq30,hexaco100,svo,ipip120,d70	default	true	hexaco100	facet_mean	Dependence		{"factor":"Emotionality","sum":null,"nItems":4,"items":[{"num":17,"id":"hexaco_017","reverseKeyed":false,"rawValue":null,"scoredValue":null},{"num":41,"id":"hexaco_041","reverseKeyed":true,"rawValue":null,"scoredValue":null},{"num":65,"id":"hexaco_065","reverseKeyed":false,"rawValue":null,"scoredValue":null},{"num":89,"id":"hexaco_089","reverseKeyed":true,"rawValue":null,"scoredValue":null}]}
	2	8e8a8d6d-f224-2095-83d4-53412e0be0e6__trial	8e8a8d6d-f224-2095-83d4-53412e0be0e6	trial	2026-01-30T07:10:26.237Z			2026-02-04T04:48:37.932Z	3				mfq30,hexaco100,svo,ipip120,d70	default	true	hexaco100	facet_sum	Sentimentality		{"factor":"Emotionality","nItems":4,"items":[{"num":23,"id":"hexaco_023","reverseKeyed":false,"rawValue":null,"scoredValue":null},{"num":47,"id":"hexaco_047","reverseKeyed":false,"rawValue":null,"scoredValue":null},{"num":71,"id":"hexaco_071","reverseKeyed":false,"rawValue":null,"scoredValue":null},{"num":95,"id":"hexaco_095","reverseKeyed":true,"rawValue":null,"scoredValue":null}]}
	2	8e8a8d6d-f224-2095-83d4-53412e0be0e6__trial	8e8a8d6d-f224-2095-83d4-53412e0be0e6	trial	2026-01-30T07:10:26.237Z			2026-02-04T04:48:37.932Z	3				mfq30,hexaco100,svo,ipip120,d70	default	true	hexaco100	facet_mean	Sentimentality		{"factor":"Emotionality","sum":null,"nItems":4,"items":[{"num":23,"id":"hexaco_023","reverseKeyed":false,"rawValue":null,"scoredValue":null},{"num":47,"id":"hexaco_047","reverseKeyed":false,"rawValue":null,"scoredValue":null},{"num":71,"id":"hexaco_071","reverseKeyed":false,"rawValue":null,"scoredValue":null},{"num":95,"id":"hexaco_095","reverseKeyed":true,"rawValue":null,"scoredValue":null}]}
	2	8e8a8d6d-f224-2095-83d4-53412e0be0e6__trial	8e8a8d6d-f224-2095-83d4-53412e0be0e6	trial	2026-01-30T07:10:26.237Z			2026-02-04T04:48:37.932Z	3				mfq30,hexaco100,svo,ipip120,d70	default	true	hexaco100	facet_sum	Social Self-Esteem		{"factor":"Extraversion","nItems":4,"items":[{"num":4,"id":"hexaco_004","reverseKeyed":false,"rawValue":null,"scoredValue":null},{"num":28,"id":"hexaco_028","reverseKeyed":false,"rawValue":null,"scoredValue":null},{"num":52,"id":"hexaco_052","reverseKeyed":true,"rawValue":null,"scoredValue":null},{"num":76,"id":"hexaco_076","reverseKeyed":true,"rawValue":null,"scoredValue":null}]}
	2	8e8a8d6d-f224-2095-83d4-53412e0be0e6__trial	8e8a8d6d-f224-2095-83d4-53412e0be0e6	trial	2026-01-30T07:10:26.237Z			2026-02-04T04:48:37.932Z	3				mfq30,hexaco100,svo,ipip120,d70	default	true	hexaco100	facet_mean	Social Self-Esteem		{"factor":"Extraversion","sum":null,"nItems":4,"items":[{"num":4,"id":"hexaco_004","reverseKeyed":false,"rawValue":null,"scoredValue":null},{"num":28,"id":"hexaco_028","reverseKeyed":false,"rawValue":null,"scoredValue":null},{"num":52,"id":"hexaco_052","reverseKeyed":true,"rawValue":null,"scoredValue":null},{"num":76,"id":"hexaco_076","reverseKeyed":true,"rawValue":null,"scoredValue":null}]}
	2	8e8a8d6d-f224-2095-83d4-53412e0be0e6__trial	8e8a8d6d-f224-2095-83d4-53412e0be0e6	trial	2026-01-30T07:10:26.237Z			2026-02-04T04:48:37.932Z	3				mfq30,hexaco100,svo,ipip120,d70	default	true	hexaco100	facet_sum	Social Boldness		{"factor":"Extraversion","nItems":4,"items":[{"num":10,"id":"hexaco_010","reverseKeyed":true,"rawValue":null,"scoredValue":null},{"num":34,"id":"hexaco_034","reverseKeyed":false,"rawValue":null,"scoredValue":null},{"num":58,"id":"hexaco_058","reverseKeyed":false,"rawValue":null,"scoredValue":null},{"num":82,"id":"hexaco_082","reverseKeyed":true,"rawValue":null,"scoredValue":null}]}
	2	8e8a8d6d-f224-2095-83d4-53412e0be0e6__trial	8e8a8d6d-f224-2095-83d4-53412e0be0e6	trial	2026-01-30T07:10:26.237Z			2026-02-04T04:48:37.932Z	3				mfq30,hexaco100,svo,ipip120,d70	default	true	hexaco100	facet_mean	Social Boldness		{"factor":"Extraversion","sum":null,"nItems":4,"items":[{"num":10,"id":"hexaco_010","reverseKeyed":true,"rawValue":null,"scoredValue":null},{"num":34,"id":"hexaco_034","reverseKeyed":false,"rawValue":null,"scoredValue":null},{"num":58,"id":"hexaco_058","reverseKeyed":false,"rawValue":null,"scoredValue":null},{"num":82,"id":"hexaco_082","reverseKeyed":true,"rawValue":null,"scoredValue":null}]}
